Rank,Player_Name,Team,Points,Average,Matches,Wickets,Economy
1,Prasidh Krishna,GT,619.9,41.3,15,25,27.4
2,Kuldeep Yadav,DC,577.9,44.4,13,15,19.7
3,Noor Ahmad,CSK,572,40.8,14,24,29.6
4,Josh Hazlewood,RCB,563.7,46.9,12,22,30
5,Arshdeep Singh,PBKS,561.7,35.1,16,21,23.4
6,Krunal Pandya,RCB,554,36.9,15,17,22.7
7,Bhuvneshwar Kumar,RCB,518.7,37,14,17,24.5
8,Jasprit Bumrah,MI,502.8,41.9,12,18,20.2
9,Digvesh Rathi,LSG,493.9,37.9,13,14,19.5
10,Trent Boult,MI,488.4,30.5,16,22,28
11,Mohammed Siraj,GT,486.9,32.4,15,16,20.6
12,Varun Chakravarthy,KKR,457.1,35.1,13,17,20.9
13,Sai Kishore,GT,437.8,29.1,15,19,22.3
14,Pat Cummins,SRH,423.6,30.2,14,16,20.9
15,Marco Jansen,PBKS,394.1,28.1,14,16,18.2
16,Vaibhav Arora,KKR,389.3,32.4,12,17,21.9
17,Yuzvendra Chahal,PBKS,387.7,29.8,13,16,18.7
18,Jofra Archer,RR,374.1,31.1,12,11,15
19,Sunil Narine,KKR,371.6,30.9,12,12,15.1
20,Avesh Khan,LSG,365.6,28.1,13,13,18.1
21,Harshal Patel,SRH,359.3,27.6,13,16,18.8
22,Yash Dayal,RCB,358.1,23.8,15,13,17.2
23,Khaleel Ahmed,CSK,347.6,24.8,14,15,20.7
24,Wanindu Hasaranga,RR,328.3,29.8,11,11,13.7
25,Mitchell Starc,DC,318,31.8,10,14,17.5
26,Harshit Rana,KKR,312.4,24,13,15,19.7
27,Shardul Thakur,LSG,302.3,30.2,10,13,18
28,Suyash Sharma,RCB,302.1,21.5,14,8,11
29,Deepak Chahar,MI,294.2,21,14,11,16.1
30,Vipraj Nigam,DC,293.7,22.5,13,11,13.9
31,Maheesh Theekshana,RR,292,26.5,11,11,13.5
32,Rashid Khan,GT,288.9,19.2,15,9,10.2
33,Harpreet Brar,PBKS,283.4,40.4,7,10,13.3
34,Sandeep Sharma,RR,274.9,27.4,10,9,11.4
35,Ravindra Jadeja,CSK,262.9,18.7,14,10,12
36,Mitchell Santner,MI,255.1,19.6,13,10,10.8
37,Matheesha Pathirana,CSK,251.2,20.9,12,13,13.2
38,Eshan Malinga,SRH,246.8,35.2,7,13,12.8
