Player Name, Team , Batting Impact, BI/inn, Inns , Runs, Impact Runs,Points,Average,Matches,Wickets,Economy,Type,Base,Sold,Total_Impact,Bowler_Type,Overseas
Rishabh Pant,LSG,123.5,9.5,13,269,227.5,,,13,,,BAT,2,27,123.5,,No
Shreyas Iyer,PBKS,590.8,34.7,17,604,630.7,,,17,,,BAT,2,26.75,590.8,,No
Venkatesh Iyer,KKR,98.5,14,7,142,130.5,,,7,,,AR,2,23.75,98.5,Spinner,No
Heinrich Klaasen,SRH,420.3,32.3,13,487,518.8,,,13,,,BAT,-,23,420.3,,Yes
Nicholas Pooran,LSG,557.8,39.8,14,524,566.5,,,14,,,BAT,-,21,557.8,,Yes
Virat Kohli,RCB,549.7,36.6,15,657,656.5,,,15,,,BAT,-,21,549.7,,No
Rashid Khan,GT,33.3,4.1,8,40,40,288.9,19.2,15,9,10.2,BOWL,-,18,322.2,Spinner,Yes
Sanju Samson,RR,209.5,23.2,9,285,276.3,,,9,,,BAT,-,18,209.5,,No
Ruturaj Gaikwad,CSK,142.4,28.4,5,122,135.3,,,5,,,BAT,-,18,142.4,,No
Pat Cummins,SRH,113.2,12.5,9,97,110.5,423.6,30.2,9,16,20.9,AR,-,18,536.8,Pacer,Yes
Arshdeep Singh,PBKS,1.3,0.6,2,2,2.2,561.7,35.1,16,21,23.4,BOWL,2,18,563,Pacer,No
Yashasvi Jaiswal,RR,567.9,40.5,14,559,602.4,,,14,,,AR,-,18,567.9,Spinner,No
Ravindra Jadeja,CSK,174.4,12.4,14,301,275.9,262.9,18.7,14,10,12,AR,-,18,437.3,Spinner,No
Axar Patel,DC,264.2,24,11,263,278.1,221.4,20.1,11,5,8.1,AR,-,16.5,485.6,Spinner,No
Shubman Gill,GT,602.9,40.1,15,650,666.2,,,15,,,BAT,-,16.5,602.9,,No
Suryakumar Yadav,MI,653.3,40.8,16,717,733.6,,,16,,,BAT,-,16.35,653.3,,No
Hardik Pandya,MI,146.4,12.2,12,224,211.9,225.6,16.1,12,14,17.2,AR,-,16.35,372,Pacer,No
Rohit Sharma,MI,329.1,21.9,15,418,415.8,,,15,,,BAT,-,16.3,329.1,,No
Jos Buttler,GT,488.2,37.5,13,538,531.4,,,13,,,BAT,2,15.75,488.2,,Yes
Dhruv Jurel,RR,240,18.4,13,333,307.8,,,13,,,BAT,-,14,240,,No
KL Rahul,DC,460,35.3,13,539,544.8,,,13,,,BAT,2,14,460,,No
Riyan Parag,RR,362.7,25.9,14,393,429.6,119.9,13.3,14,3,3.9,AR,-,14,482.7,Spinner,No
Abhishek Sharma,SRH,520.9,40,13,439,502.3,,,13,,,AR,-,14,524.7,Spinner,No
Travis Head,SRH,315.8,26.3,12,374,376.1,,,12,,,BAT,-,14,315.8,,Yes
Kuldeep Yadav,DC,14.5,2.9,5,18,16.4,577.9,44.4,13,15,19.7,BOWL,-,13.25,592.5,Spinner,No
Rinku Singh,KKR,184.7,16.7,11,206,206.7,,,11,,,BAT,-,13,184.7,,No
Trent Boult,MI,-1.1,-0.6,2,2,-0.3,488.4,30.5,16,22,28,BOWL,2,12.5,487.3,Pacer,Yes
Josh Hazlewood,RCB,-0.5,-0.5,1,0,-1,563.7,46.9,12,22,30,BOWL,2,12.5,563.3,Pacer,No
Jofra Archer,RR,49.6,7,7,63,62,374.1,31.1,12,11,15,BOWL,2,12.5,423.8,Pacer,No
Mohammed Siraj,GT,2,2,1,3,3,486.9,32.4,15,16,20.6,BOWL,2,12.25,488.9,Pacer,No
Varun Chakravarthy,KKR,0.4,0.4,1,1,0.6,457.1,35.1,1,17,20.9,AR,-,12,457.6,Spinner,No
Shivam Dube,CSK,256.7,18.3,14,357,339.5,,,14,,,AR,-,12,246.8,Spinner,No
Sunil Narine,KKR,254.8,21.2,12,246,258.4,371.6,30.9,12,12,15.1,BOWL,-,12,626.5,Spinner,Yes
Andre Russell,KKR,193.2,19.3,10,167,182.2,104.3,11.5,10,8,7.2,AR,-,12,297.6,Pacer,Yes
Mitchell Starc,DC,-5.6,-1,6,6,-3.7,318,31.8,10,14,17.5,BOWL,2,11.75,312.5,Pacer,No
Phil Salt,RCB,454.3,34.9,13,403,442.5,,,13,,,BAT,2,11.5,454.3,,Yes
Ishan Kishan,SRH,233.8,17.9,13,354,334.3,,,13,,,BAT,2,11.25,232.3,,No
Rajat Patidar,RCB,201.8,14.4,14,312,279.8,,,14,,,BAT,-,11,201.8,,No
Ravi Bishnoi,LSG,4,1.3,3,13,8.9,182.2,16.5,11,9,12.2,BOWL,-,11,186.3,Spinner,No
Jitesh Sharma,RCB,268.6,24.4,11,261,270.2,,,11,,,BAT,1,11,268.6,,No
Shimron Hetmyer,RR,146.5,11.2,13,239,215.6,,,13,,,BAT,-,11,146.5,,Yes
