Rank,Player,Team,Total_Impact,Impact_Per_Match,Matches,Runs,Wickets
1,Suryakumar Yadav,MI,653.3,40.8,16,717,-
2,Krunal Pandya,RCB,642.3,42.8,15,109,17
3,Sai Sudharsan,GT,641.2,42.7,15,759,-
4,Sunil Narine,KKR,626.5,52.2,12,246,12
5,Prasidh Krishna,GT,619.9,41.3,15,0,25
6,Shubman Gill,GT,602.9,40.1,15,650,-
7,Kuldeep Yadav,DC,592.5,42.3,14,18,15
8,Shreyas Iyer,PBKS,590.8,34.7,17,604,-
9,Priyansh Arya,PBKS,573.3,33.7,17,475,-
10,Noor Ahmad,CSK,568.6,40.6,14,7,24
11,Yashasvi Jaiswal,RR,567.9,40.5,14,559,-
12,Josh Hazlewood,RCB,563.3,46.9,12,0,22
13,Arshdeep Singh,PBKS,563,33.1,17,2,21
14,Nicholas Pooran,LSG,557.8,39.8,14,524,-
15,Virat Kohli,RCB,549.7,36.6,15,657,-
16,Pat Cummins,SRH,536.8,38.3,14,97,16
17,Abhishek Sharma,SRH,524.7,37.4,14,439,-
18,Bhuvneshwar Kumar,RCB,512.5,36.6,14,14,17
19,Jasprit Bumrah,MI,502.8,41.9,12,0,18
20,Mitchell Marsh,LSG,502.3,38.6,13,627,-
21,Digvesh Rathi,LSG,494.6,38,13,1,14
22,Prabhsimran Singh,PBKS,494.1,29,17,549,-
23,Vipraj Nigam,DC,489.1,34.9,14,142,11
24,Mohammed Siraj,GT,488.9,32.5,15,3,16
25,Jos Buttler,GT,488.2,34.8,14,538,-
26,Trent Boult,MI,487.3,30.4,16,2,22
27,Axar Patel,DC,485.6,40.4,12,263,5
28,Riyan Parag,RR,482.7,34.4,14,393,3
29,KL Rahul,DC,460,35.3,13,539,-
30,Varun Chakravarthy,KKR,457.6,35.2,13,1,17
31,Phil Salt,RCB,454.3,34.9,13,403,-
32,Sai Kishore,GT,439.8,29.3,15,5,19
33,Ravindra Jadeja,CSK,437.3,31.2,14,301,10
34,Jofra Archer,RR,423.8,35.3,12,63,11
35,Marco Jansen,PBKS,421.8,30.1,14,75,16
36,Heinrich Klaasen,SRH,420.3,30,14,487,-
37,Aiden Markram,LSG,402.8,30.9,13,445,4
38,Yuzvendra Chahal,PBKS,387.7,27.6,14,0,16
39,Vaibhav Arora,KKR,386.8,32.2,12,0,17
40,Avesh Khan,LSG,380.9,29.3,13,21,13
41,Hardik Pandya,MI,372,24.8,15,224,14
42,Will Jacks,MI,363.9,27.9,13,233,6
43,Ryan Rickelton,MI,359.8,25.7,14,388,-
44,Harshal Patel,SRH,359.6,27.6,13,21,16
45,Yash Dayal,RCB,359.1,23.9,15,4,13
46,Ajinkya Rahane,KKR,358,27.5,13,390,-
47,Khaleel Ahmed,CSK,347.4,24.8,14,1,15
48,Deepak Chahar,MI,343.2,24.5,14,37,11
49,Harshit Rana,KKR,335,25.7,13,57,15
50,Rohit Sharma,MI,329.1,21.9,15,418,-
51,Rashid Khan,GT,322.2,21.4,15,40,9
52,Josh Inglis,PBKS,321.7,29.2,11,278,-
53,Wanindu Hasaranga,RR,317.9,28.9,11,9,11
54,Shardul Thakur,LSG,316.5,31.6,10,18,13
55,Travis Head,SRH,315.8,24.2,13,374,-
56,Mitchell Starc,DC,312.5,28.4,11,6,14
57,Suyash Sharma,RCB,302.1,21.5,14,0,8
58,Andre Russell,KKR,297.6,22.8,13,167,8
59,Harpreet Brar,PBKS,293.6,36.7,8,11,10
60,Maheesh Theekshana,RR,291,26.4,11,10,11
61,Naman Dhir,MI,285.5,17.8,16,252,-
62,Vaibhav Suryavanshi,RR,285.1,40.7,7,252,-
63,Sandeep Sharma,RR,278.9,27.8,10,6,9
64,Shashank Singh,PBKS,278.3,16.3,17,350,-
65,Romario Shepherd,RCB,276.7,34.5,8,70,6
66,Nehal Wadhera,PBKS,273.8,17.1,16,369,-
67,Aniket Verma,SRH,269.5,19.2,14,236,-
68,Jitesh Sharma,RCB,268.6,17.9,15,261,-
69,Tristan Stubbs,DC,260.7,18.6,14,300,-
70,Dewald Brevis,CSK,259.8,43.3,6,225,-
71,Abishek Porel,DC,259.5,19.9,13,301,-
72,Mitchell Santner,MI,254.7,19.5,13,40,10
73,Matheesha Pathirana,CSK,251.2,20.9,12,0,13
74,Ayush Mhatre,CSK,250.7,35.8,7,240,-
75,Shivam Dube,CSK,246.8,17.6,14,357,-
76,Eshan Malinga,SRH,246.8,35.2,7,0,13
77,Mukesh Kumar,DC,240.3,20,12,0,12
78,Dhruv Jurel,RR,240,17.1,14,333,-
79,Azmatullah Omarzai,PBKS,237.8,26.4,9,57,8
80,Ishan Kishan,SRH,232.3,16.5,14,354,-
81,Nitish Rana,RR,229.1,20.8,11,217,-
82,Ashutosh Sharma,DC,228.4,17.5,13,204,-
83,Angkrish Raghuvanshi,KKR,227.5,18.9,12,300,-
84,Tushar Deshpande,RR,225.6,22.5,10,7,9
85,Devdutt Padikkal,RCB,224.9,22.4,10,247,-
86,Tim David,RCB,223.2,18.6,12,187,-
87,Ayush Badoni,LSG,220.5,15.7,14,329,2
88,Marcus Stoinis,PBKS,215.3,16.5,13,160,1
89,Anshul Kamboj,CSK,211,26.3,8,14,8
90,Sanju Samson,RR,209.5,23.2,9,285,-
91,M Shahrukh Khan,GT,203.9,13.5,15,179,1
92,Rajat Patidar,RCB,201.8,13.4,15,312,-
